Reviewed in the United States on August 18, 2020;1;Garbage;Just recieved a pack of 4.Size runs way too big.The rings were dirty. The edges are not clean.One ring looked like it went through a garbage disposal. I don't know who inspects these or how they could have sent these out.Free replacement is advertised, with no hassle no return, but no instructions on how.;Garbage,Just recieved a pack of 4.Size runs way too big.The rings were dirty. The edges are not clean.One ring looked like it went through a garbage disposal. I don't know who inspects these or how they could have sent these out.Free replacement is advertised, with no hassle no return, but no instructions on how.;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on July 7, 2020;1;Cheap crap;So cheap!!!;Cheap crap,So cheap!!!;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on October 21, 2020;1;These stretch out over time and don't return to shape;After a few weeks they no longer fit. They become loose. I have cycled through other rings in the package and given the ones I used time to shrink back to size, but they do not. So five rings will last me only 2-3 months.;These stretch out over time and don't return to shape,After a few weeks they no longer fit. They become loose. I have cycled through other rings in the package and given the ones I used time to shrink back to size, but they do not. So five rings will last me only 2-3 months.;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on July 22, 2020;1;Looks like it came from the gumball machine.;Are you kidding me? You can't be serious. I've gotten better rings for a quarter from the gumball machine. I am not even goi g to show my husband that I bought this because he will laugh.;Looks like it came from the gumball machine.,Are you kidding me? You can't be serious. I've gotten better rings for a quarter from the gumball machine. I am not even goi g to show my husband that I bought this because he will laugh.;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on August 4, 2020;1;I like them, but not as advertised;These don't have any groves on the inside and my finger for sure was sweating underneath. Will see how well it holds up, but clearly not the same as pictured.;I like them, but not as advertised,These don't have any groves on the inside and my finger for sure was sweating underneath. Will see how well it holds up, but clearly not the same as pictured.;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on February 5, 2021;1;You get what you pay for;You get what you pay for....cheap!! The rings I ordered do not match the picture shown. Luckily, I only purchased for my husband to wear during the winter since his real wedding ring slide off easily due to his finger shrinking in cold weather.;You get what you pay for,You get what you pay for....cheap!! The rings I ordered do not match the picture shown. Luckily, I only purchased for my husband to wear during the winter since his real wedding ring slide off easily due to his finger shrinking in cold weather.;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on August 18, 2020;1;Swollen finger;This ring caused my husband's finger to swell up after only wearing it for about a week.;Swollen finger,This ring caused my husband's finger to swell up after only wearing it for about a week.;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on May 15, 2020;1;Runs large;Followed directions, measured three seperate occasions and still it does not fit.;Runs large,Followed directions, measured three seperate occasions and still it does not fit.;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on February 6, 2021;1;Color is not accurate & stretched out quickly;Editing: after wearing the ring for 28 days, it has stretched out so bad it is useless. I would not recommend this ring. We have ordered another brand now.Initial review:The ring is soft and comfortable. I would have given it 5 stars if it was metallic like the photo however it is brown. Just plain ole brown. I picked this one because it was different and much better looking then the plain brown ones. ðŸ¤·â€â™€ï¸ I got the plain ole brown that I was trying to avoid.It seems durable and fits well.;Color is not accurate & stretched out quickly,Editing: after wearing the ring for 28 days, it has stretched out so bad it is useless. I would not recommend this ring. We have ordered another brand now.Initial review:The ring is soft and comfortable. I would have given it 5 stars if it was metallic like the photo however it is brown. Just plain ole brown. I picked this one because it was different and much better looking then the plain brown ones. ðŸ¤·â€â™€ï¸ I got the plain ole brown that I was trying to avoid.It seems durable and fits well.;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on March 9, 2021;1;Poor Quality - Looks Awful;Yeah, I know it cost less than $8.00, but I would expect better quality for the money. After all, it's a simple molded silicone ring. The outer surface of the ring had visible imperfections caused by a bad mold template. And the product looked nothing like the advertised picture. It was comfortable, though.;Poor Quality - Looks Awful,Yeah, I know it cost less than $8.00, but I would expect better quality for the money. After all, it's a simple molded silicone ring. The outer surface of the ring had visible imperfections caused by a bad mold template. And the product looked nothing like the advertised picture. It was comfortable, though.;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on October 29, 2020;1;I swore they were supposed to be all black;I thought all 4 rings were black. I ordered 4 black rings, I was delivered one black and 3 other colors. Yeah I see the picture, that wasn't the picture I saw when I ordered the product. No, I don't do drugs or drink alcohol. No, I'm not color blind;I swore they were supposed to be all black,I thought all 4 rings were black. I ordered 4 black rings, I was delivered one black and 3 other colors. Yeah I see the picture, that wasn't the picture I saw when I ordered the product. No, I don't do drugs or drink alcohol. No, I'm not color blind;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on September 3, 2020;1;Hard to get a good fit;I've had the worst luck with finding one of these that fit my husband! This was my 3rd order. I ordered it early may to give to him on Father's day and he opened it this morning and put it on and within 3 minutes he had this awful mark on him. The size up is too big. Now I have 3 packs of these that don't fit and just sit in a drawer. I can't see a link anywhere to contact the seller. And because I bought early and gave it to him today, I am past the return window. I have a set of these for myself (girl ones) and I like the product but its frustrating that I can't find how to contact the seller and am out of my return window;Hard to get a good fit,I've had the worst luck with finding one of these that fit my husband! This was my 3rd order. I ordered it early may to give to him on Father's day and he opened it this morning and put it on and within 3 minutes he had this awful mark on him. The size up is too big. Now I have 3 packs of these that don't fit and just sit in a drawer. I can't see a link anywhere to contact the seller. And because I bought early and gave it to him today, I am past the return window. I have a set of these for myself (girl ones) and I like the product but its frustrating that I can't find how to contact the seller and am out of my return window;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on July 29, 2020;1;Runs small and cheap. Donâ€™t waste your money;Ring runs small and it flips on your finger when you put your hand in your pocket. Seller had good communication until I wasnâ€™t satisfied. Seller contacted me before it shipped and said they stand by their product, itâ€™s all lies. As soon as I responded it was total silence.;Runs small and cheap. Donâ€™t waste your money,Ring runs small and it flips on your finger when you put your hand in your pocket. Seller had good communication until I wasnâ€™t satisfied. Seller contacted me before it shipped and said they stand by their product, itâ€™s all lies. As soon as I responded it was total silence.;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on January 28, 2021;1;Trash;These look absolutely nothing like the picture. Cheap quality, colors are way different than pictured. Theyâ€™re basically thick rubber bands. Sizes were way off also, was going to return but not worth the hassle for the price. Could make a good seal to keep your bread fresh though!;Trash,These look absolutely nothing like the picture. Cheap quality, colors are way different than pictured. Theyâ€™re basically thick rubber bands. Sizes were way off also, was going to return but not worth the hassle for the price. Could make a good seal to keep your bread fresh though!;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on April 3, 2020;1;Stretches out after short time, groove rings are worth the money;Stretch out after a week of use, each ring has slowly become stretched and worn out and I am unhappy with the product.;Stretches out after short time, groove rings are worth the money,Stretch out after a week of use, each ring has slowly become stretched and worn out and I am unhappy with the product.;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on July 20, 2021;1;Nothing like the picture;If you just need a cheap ring then these are fine! They have the same feel as rubber bands but a softer. I received all 4 but some how lost one already;Nothing like the picture,If you just need a cheap ring then these are fine! They have the same feel as rubber bands but a softer. I received all 4 but some how lost one already;;;;;;;;;;;;;;;;;;;;;
Reviewed in the United States on May 4, 2021;1;Finger changed color !!!;My husband started wearing these for work and after about 2 days his finger started turning white like what happens when you leave a bandaid on for too long. And itâ€™s not like theyâ€™re too tight in him. Really strange. Do not recommend.;Finger changed color !!!,My husband started wearing these for work and after about 2 days his finger started turning white like what happens when you leave a bandaid on for too long. And itâ€™s not like theyâ€™re too tight in him. Really strange. Do not recommend.;;;;;;;;;;;;;;;;;;;;;
